Student_Name,Matric_Number,NRIC,Year,Faculties,Major,Second Major,Modules_Completed,Grades
Rachel Smith,A0268739X,XXXXX564Z,1,Yong Loo Lin Sch of Medicine,Nursing,,"['NUR1114A', 'GEC1011', 'NUR1107B', 'MD1902', 'MD1903', 'NUR1108C', 'NUR1125', 'MIH1102']","{'NUR1114A': 'B+', 'GEC1011': 'C', 'NUR1107B': 'B', 'MD1902': 'D', 'MD1903': 'C+', 'NUR1108C': 'A', 'NUR1125': 'B', 'MIH1102': 'A'}"
Brandon Harris,A0249325U,XXXXX483Z,4,College of Design and Engineering,Mechanical Engineering,,"['BN3202', 'CDE4501A', 'BN4302', 'CDE2701B', 'EE1111A', 'UTOD2001', 'LAD1005', 'EE4509', 'DTK1234', 'UIS4932', 'ESP2111', 'PF3208', 'MLE2001A', 'PF4209', 'UIS3932', 'CN4249', 'ID2112', 'EE2026', 'ID1223', 'ID2042', 'UTOD2002', 'PF3105', 'EG2606A', 'ME3261', 'IPM2103', 'AR2522', 'ME3281', 'GES1019', 'CDE2605', 'AR1102', 'ESE2101', 'ESP4901']","{'BN3202': 'C', 'CDE4501A': 'A+', 'BN4302': 'B+', 'CDE2701B': 'F', 'EE1111A': 'B', 'UTOD2001': 'C', 'LAD1005': 'D', 'EE4509': 'D', 'DTK1234': 'C', 'UIS4932': 'C+', 'ESP2111': 'D', 'PF3208': 'D', 'MLE2001A': 'B', 'PF4209': 'F', 'UIS3932': 'B+', 'CN4249': 'B', 'ID2112': 'A', 'EE2026': 'B-', 'ID1223': 'B+', 'ID2042': 'A+', 'UTOD2002': 'B+', 'PF3105': 'C+', 'EG2606A': 'A-', 'ME3261': 'B-', 'IPM2103': 'B-', 'AR2522': 'B+', 'ME3281': 'B+', 'GES1019': 'B+', 'CDE2605': 'C+', 'AR1102': 'A-', 'ESE2101': 'C+', 'ESP4901': 'A'}"
Tracy Hill,A0271472I,XXXXX758Z,2,College of Design and Engineering,Computer Engineering,,"['CN2103', 'DTK1234A', 'IPM2104', 'BN2111', 'ID2322', 'ID1300', 'BN2301', 'IPM1102', 'CDE2501', 'PF2107', 'EG1311', 'PF2110', 'AR2522', 'CDE2300', 'LAD2005', 'CDE2701B']","{'CN2103': 'B-', 'DTK1234A': 'B', 'IPM2104': 'B+', 'BN2111': 'C', 'ID2322': 'D', 'ID1300': 'F', 'BN2301': 'D', 'IPM1102': 'A-', 'CDE2501': 'A+', 'PF2107': 'C', 'EG1311': 'C+', 'PF2110': 'B', 'AR2522': 'B+', 'CDE2300': 'B', 'LAD2005': 'A-', 'CDE2701B': 'B-'}"
Courtney Newton MD,A0289275I,XXXXX650Z,1,Arts and Social Science,Geography,,"['GEH1045', 'HS1402A', 'GEX1010', 'HS1401A', 'GES1005', 'GEI1001', 'GES1006', 'GEC1032']","{'GEH1045': 'C', 'HS1402A': 'C', 'GEX1010': 'B', 'HS1401A': 'A-', 'GES1005': 'A', 'GEI1001': 'C', 'GES1006': 'A+', 'GEC1032': 'F'}"
Laura Anderson,A0239649X,XXXXX875Z,3,Arts and Social Science,Economics,,"['GES1030', 'GEX1023', 'PS2258', 'GES1002', 'GES1009', 'AN2101', 'JS3213', 'ASP1201GE', 'CL3202', 'EL1101E', 'GES1038', 'GEC1050', 'GEH1062', 'SC3227', 'MS2217', 'GEC1041', 'SC2216', 'GE3253', 'GEH1015', 'NM1101X', 'GE3210', 'GESS1005', 'CH3273', 'GEC1001']","{'GES1030': 'C+', 'GEX1023': 'B+', 'PS2258': 'A-', 'GES1002': 'C+', 'GES1009': 'A', 'AN2101': 'C+', 'JS3213': 'B', 'ASP1201GE': 'B-', 'CL3202': 'B+', 'EL1101E': 'F', 'GES1038': 'A', 'GEC1050': 'B', 'GEH1062': 'B', 'SC3227': 'B', 'MS2217': 'A+', 'GEC1041': 'B', 'SC2216': 'A', 'GE3253': 'C', 'GEH1015': 'A', 'NM1101X': 'B-', 'GE3210': 'B-', 'GESS1005': 'D', 'CH3273': 'A+', 'GEC1001': 'D'}"
Stephen Floyd,A0268822L,XXXXX984Z,3,Computing,Business Analytics,,"['CS1101S', 'CP2201', 'DMC1401IS', 'CP3108B', 'CS2107', 'CP3209R', 'IS1108', 'CS2040', 'IT2900', 'CS3263', 'CS2108', 'CS3245', 'CS2030', 'CS3281', 'CP3111', 'IS2102', 'IS3103', 'CP3108A', 'CP3209', 'CS3231', 'CS3230', 'CP1008', 'CS3245R', 'CS1010R']","{'CS1101S': 'A-', 'CP2201': 'C', 'DMC1401IS': 'C', 'CP3108B': 'B+', 'CS2107': 'C', 'CP3209R': 'B+', 'IS1108': 'B', 'CS2040': 'F', 'IT2900': 'B', 'CS3263': 'B-', 'CS2108': 'B+', 'CS3245': 'D', 'CS2030': 'B', 'CS3281': 'C+', 'CP3111': 'C', 'IS2102': 'A', 'IS3103': 'A', 'CP3108A': 'B-', 'CP3209': 'B', 'CS3231': 'B-', 'CS3230': 'B', 'CP1008': 'B+', 'CS3245R': 'A+', 'CS1010R': 'A+'}"
Stacey Ward,A0235834D,XXXXX133Z,2,Arts and Social Science,History,,"['CH2390', 'GESS1003', 'AN2204', 'EN2202', 'AN2206', 'GES1014', 'GES1015', 'LAC2202', 'UTOA2002EL', 'GEC1005', 'GEI1001', 'GET1044', 'PS2244', 'GEH1009', 'GESS1007', 'CH2161']","{'CH2390': 'B-', 'GESS1003': 'D', 'AN2204': 'D', 'EN2202': 'A', 'AN2206': 'F', 'GES1014': 'B+', 'GES1015': 'A', 'LAC2202': 'A+', 'UTOA2002EL': 'A-', 'GEC1005': 'B', 'GEI1001': 'A', 'GET1044': 'D', 'PS2244': 'D', 'GEH1009': 'B+', 'GESS1007': 'A-', 'CH2161': 'D'}"
Ms. Joy Jordan MD,A0273304U,XXXXX557Z,2,YST Conservatory of Music,Music,,"['MUA2172', 'MUA2230', 'MUH1101', 'MUA1161', 'MUA1240', 'MUA2204', 'MUH2201', 'MUA1165', 'MUA2154', 'MUA2109', 'GEX1027', 'MUT1201', 'MUL2107', 'CFA1111A', 'MUA2255A', 'CFA1111B']","{'MUA2172': 'B+', 'MUA2230': 'A+', 'MUH1101': 'B', 'MUA1161': 'C', 'MUA1240': 'C', 'MUA2204': 'B-', 'MUH2201': 'A-', 'MUA1165': 'B+', 'MUA2154': 'B', 'MUA2109': 'B-', 'GEX1027': 'A', 'MUT1201': 'C+', 'MUL2107': 'A', 'CFA1111A': 'A', 'MUA2255A': 'B-', 'CFA1111B': 'A+'}"
Wesley Garcia,A0207220M,XXXXX206Z,1,College of Design and Engineering,Civil Engineering,,"['ESP1111', 'AR1102', 'PF1107', 'PF1103', 'ID1119', 'DTK1234', 'DTK1234A', 'IPM1104']","{'ESP1111': 'A', 'AR1102': 'F', 'PF1107': 'B-', 'PF1103': 'D', 'ID1119': 'A+', 'DTK1234': 'C', 'DTK1234A': 'C', 'IPM1104': 'D'}"
Luke Levy,A0215478D,XXXXX471Z,4,NUS Business School,Business Administration,,"['BIS3001A', 'DOS3751', 'DMB1202ACC', 'FIN4715', 'MKT1705C', 'BPM1701', 'BI3002B', 'DMB1204FIN', 'DMB1203MNO', 'BI3002A', 'DMB1204DO', 'BI3003', 'BSN3701', 'BWS3816', 'DMB1202MNO', 'BSP1702X', 'MKT3714', 'DMB1202DAO', 'BIS3001', 'DAO2703', 'MNO1706E', 'BHD4001', 'DMB1203BSP', 'GESS1019', 'DMB1201ACC', 'DOS4813', 'BSP3701C', 'BI3712B', 'MKT1705B', 'DMB1201BSP', 'RE3000', 'RE1901']","{'BIS3001A': 'F', 'DOS3751': 'A', 'DMB1202ACC': 'B+', 'FIN4715': 'B', 'MKT1705C': 'A+', 'BPM1701': 'B', 'BI3002B': 'B-', 'DMB1204FIN': 'A+', 'DMB1203MNO': 'A-', 'BI3002A': 'A', 'DMB1204DO': 'A-', 'BI3003': 'D', 'BSN3701': 'B', 'BWS3816': 'A-', 'DMB1202MNO': 'A-', 'BSP1702X': 'D', 'MKT3714': 'B+', 'DMB1202DAO': 'C+', 'BIS3001': 'B+', 'DAO2703': 'A', 'MNO1706E': 'C+', 'BHD4001': 'D', 'DMB1203BSP': 'A+', 'GESS1019': 'A+', 'DMB1201ACC': 'A+', 'DOS4813': 'B', 'BSP3701C': 'A', 'BI3712B': 'B-', 'MKT1705B': 'B-', 'DMB1201BSP': 'B', 'RE3000': 'F', 'RE1901': 'A+'}"
James Jackson,A0211678I,XXXXX941Z,4,YST Conservatory of Music,Music,,"['MUA2203', 'GES1020', 'MUA3221', 'MUA3271', 'CFA1101B', 'MUA1172', 'MUA3115', 'MUA1188', 'MUA1154', 'MUA1223', 'GEC1014', 'MUH3205', 'MUA1163', 'MUA3196', 'MUA1168', 'MUT3113', 'MUA2109', 'MUA2266', 'MUA4153', 'MUA4175', 'MUA3179', 'MUA4154', 'MUA2172', 'MUA2204', 'MUA3224', 'MUA3230', 'MUT1101', 'MUA3256', 'GEX1022', 'MUA4113', 'MUA3255', 'MUA2267']","{'MUA2203': 'A', 'GES1020': 'C', 'MUA3221': 'A-', 'MUA3271': 'B+', 'CFA1101B': 'F', 'MUA1172': 'B-', 'MUA3115': 'B-', 'MUA1188': 'F', 'MUA1154': 'A', 'MUA1223': 'C+', 'GEC1014': 'A', 'MUH3205': 'A-', 'MUA1163': 'B-', 'MUA3196': 'C', 'MUA1168': 'B+', 'MUT3113': 'B-', 'MUA2109': 'A-', 'MUA2266': 'C+', 'MUA4153': 'D', 'MUA4175': 'C+', 'MUA3179': 'B-', 'MUA4154': 'B', 'MUA2172': 'C+', 'MUA2204': 'A-', 'MUA3224': 'A', 'MUA3230': 'F', 'MUT1101': 'B', 'MUA3256': 'B', 'GEX1022': 'C', 'MUA4113': 'D', 'MUA3255': 'A', 'MUA2267': 'B'}"
Carolyn Jones,A0245091B,XXXXX711Z,2,Law,Law,,"['LC1001E', 'LC1002J', 'LC1003', 'LC2010B', 'LC2009', 'LC1002C', 'LC1001D', 'LC2010H', 'LC2012', 'LC1002D', 'LC2010D', 'LC2008F', 'LC1002G', 'LC2010G', 'LC1002A', 'LC1002H']","{'LC1001E': 'A+', 'LC1002J': 'B', 'LC1003': 'C', 'LC2010B': 'A', 'LC2009': 'C', 'LC1002C': 'A+', 'LC1001D': 'B+', 'LC2010H': 'B+', 'LC2012': 'B+', 'LC1002D': 'C+', 'LC2010D': 'B+', 'LC2008F': 'C', 'LC1002G': 'D', 'LC2010G': 'C+', 'LC1002A': 'A-', 'LC1002H': 'C+'}"
Katrina Casey,A0222546A,XXXXX671Z,2,Science,Data Science and Economics,,"['PR1152', 'QF2312', 'HS1501', 'MA2313', 'ENV2102', 'PR1150', 'ENV1101', 'UTOS2001', 'MA2310', 'UTOS2002F', 'PHS1101', 'PHS2103', 'GEH1050', 'ENV2288', 'MA1301', 'UTOS2201P']","{'PR1152': 'A+', 'QF2312': 'B+', 'HS1501': 'B+', 'MA2313': 'A-', 'ENV2102': 'C+', 'PR1150': 'D', 'ENV1101': 'B', 'UTOS2001': 'F', 'MA2310': 'A', 'UTOS2002F': 'D', 'PHS1101': 'C+', 'PHS2103': 'F', 'GEH1050': 'A+', 'ENV2288': 'B', 'MA1301': 'B+', 'UTOS2201P': 'A'}"
Peter Jenkins,A0279015B,XXXXX361Z,3,YST Conservatory of Music,Music,,"['MUA2255B', 'CFA1111B', 'CFA1101A', 'MUT3216', 'MUA2203', 'MUA3230', 'MUA3228', 'MUH2201', 'GEC1023', 'MUA2204', 'MUA1172', 'GET1019', 'MUA3226', 'MUA1170', 'CFA2210', 'MUT1101', 'CFA2101A', 'MUA3256', 'GET1040', 'MUH3205', 'MUA1240', 'MUA3179', 'MUA2172', 'GESS1015']","{'MUA2255B': 'B', 'CFA1111B': 'A', 'CFA1101A': 'F', 'MUT3216': 'B-', 'MUA2203': 'A', 'MUA3230': 'A-', 'MUA3228': 'C+', 'MUH2201': 'A+', 'GEC1023': 'B+', 'MUA2204': 'D', 'MUA1172': 'D', 'GET1019': 'A+', 'MUA3226': 'C', 'MUA1170': 'B+', 'CFA2210': 'B+', 'MUT1101': 'F', 'CFA2101A': 'A+', 'MUA3256': 'B+', 'GET1040': 'F', 'MUH3205': 'B-', 'MUA1240': 'A+', 'MUA3179': 'F', 'MUA2172': 'B-', 'GESS1015': 'A'}"
Ryan Byrd,A0297835B,XXXXX914Z,2,Computing,Business Analytics,,"['DMC1401', 'CS1010X', 'BT1101', 'GEI1000', 'CS2030S', 'IS2103', 'CS2040S', 'IS2102', 'CS2102', 'CS2103R', 'CP2107', 'CS2104', 'CP2106', 'CS2113', 'CS2309', 'CP1008']","{'DMC1401': 'B-', 'CS1010X': 'C', 'BT1101': 'C', 'GEI1000': 'C+', 'CS2030S': 'C', 'IS2103': 'B-', 'CS2040S': 'B', 'IS2102': 'F', 'CS2102': 'B', 'CS2103R': 'A+', 'CP2107': 'F', 'CS2104': 'C+', 'CP2106': 'B+', 'CS2113': 'D', 'CS2309': 'A-', 'CP1008': 'C+'}"
Heather Hebert,A0224081E,XXXXX478Z,4,NUS Business School,Business Administration,,"['DMB1204ACC', 'BI3001B', 'DAO1704X', 'DMB1202ACC', 'BLD3002', 'BI3704D', 'BSN4751', 'DMB1204DO', 'DMB1203DO', 'MKT1705C', 'DMB1204MNO', 'BHD4001', 'MNO1706C', 'RE3704', 'BSP1702X', 'DMB1203DAO', 'BI3003A', 'STR1000', 'MKT3752', 'DMB1204MKT', 'DMB1202BSP', 'RE2706', 'MKT4752', 'DOS3811', 'MNO2706', 'FIN4752', 'BSP3701A', 'MKT1705X', 'FIN4751', 'ACC3707', 'DMB1203MNO', 'BSE3751']","{'DMB1204ACC': 'D', 'BI3001B': 'C+', 'DAO1704X': 'D', 'DMB1202ACC': 'B', 'BLD3002': 'B+', 'BI3704D': 'C+', 'BSN4751': 'C', 'DMB1204DO': 'B', 'DMB1203DO': 'C+', 'MKT1705C': 'A', 'DMB1204MNO': 'B-', 'BHD4001': 'D', 'MNO1706C': 'B+', 'RE3704': 'A', 'BSP1702X': 'A-', 'DMB1203DAO': 'A-', 'BI3003A': 'A', 'STR1000': 'B', 'MKT3752': 'F', 'DMB1204MKT': 'B-', 'DMB1202BSP': 'F', 'RE2706': 'F', 'MKT4752': 'D', 'DOS3811': 'B-', 'MNO2706': 'C', 'FIN4752': 'F', 'BSP3701A': 'F', 'MKT1705X': 'B', 'FIN4751': 'B', 'ACC3707': 'B+', 'DMB1203MNO': 'C', 'BSE3751': 'A'}"
Ryan Day,A0282566L,XXXXX768Z,3,Law,Law,,"['LC2006G', 'LC2017', 'LC1002C', 'LC1002J', 'LC1002G', 'LC2008H', 'LC1001D', 'LC1016', 'LC2010D', 'LC1001B', 'LC1001E', 'LC1001F', 'LC2006B', 'LC2010C', 'LC2010A', 'LC2010G', 'LC1002H', 'LC2006A', 'LC2013', 'LC1001G', 'LC1025', 'LC2006C', 'LC1003', 'LC2010H']","{'LC2006G': 'C', 'LC2017': 'A+', 'LC1002C': 'B', 'LC1002J': 'B+', 'LC1002G': 'C', 'LC2008H': 'A', 'LC1001D': 'A-', 'LC1016': 'B-', 'LC2010D': 'C+', 'LC1001B': 'B-', 'LC1001E': 'A+', 'LC1001F': 'B+', 'LC2006B': 'D', 'LC2010C': 'D', 'LC2010A': 'A+', 'LC2010G': 'D', 'LC1002H': 'F', 'LC2006A': 'B+', 'LC2013': 'C+', 'LC1001G': 'A-', 'LC1025': 'A+', 'LC2006C': 'C', 'LC1003': 'B-', 'LC2010H': 'C+'}"
Carlos Lee,A0288305R,XXXXX388Z,1,Science,Environmental Studies,,"['GEH1050', 'PR1154', 'MA1301X', 'LSM1301', 'COS1000', 'HS1404S', 'MA1521', 'DSE1101']","{'GEH1050': 'C+', 'PR1154': 'B', 'MA1301X': 'F', 'LSM1301': 'B-', 'COS1000': 'C+', 'HS1404S': 'B+', 'MA1521': 'F', 'DSE1101': 'B-'}"
Dave Ortega,A0202653K,XXXXX141Z,1,Arts and Social Science,Psychology,,"['GEH1024', 'GES1041', 'GESS1024', 'SW1101E', 'GEI1002', 'GEC1048', 'HY1101E', 'HS1404A']","{'GEH1024': 'A-', 'GES1041': 'A+', 'GESS1024': 'A', 'SW1101E': 'B+', 'GEI1002': 'F', 'GEC1048': 'A', 'HY1101E': 'B-', 'HS1404A': 'A'}"
Shelby Mills,A0204411H,XXXXX391Z,2,YST Conservatory of Music,Music,,"['MUA1101', 'GEX1027', 'GEX1022', 'MUA1192', 'MUA2172', 'MUA1102', 'MUA1188', 'CFA1111A', 'MUA1161', 'MUA2204', 'MUA2109', 'MUA2256', 'GESS1015', 'MUA1172', 'MUA2153', 'MUT1201']","{'MUA1101': 'B', 'GEX1027': 'C+', 'GEX1022': 'D', 'MUA1192': 'C', 'MUA2172': 'C', 'MUA1102': 'B', 'MUA1188': 'C', 'CFA1111A': 'B-', 'MUA1161': 'B', 'MUA2204': 'A+', 'MUA2109': 'F', 'MUA2256': 'C', 'GESS1015': 'A-', 'MUA1172': 'C+', 'MUA2153': 'B+', 'MUT1201': 'A-'}"
Michael Odom,A0226919B,XXXXX205Z,1,Yong Loo Lin Sch of Medicine,Nursing,,"['NUR1124', 'GEH1043', 'GEC1011', 'ALS1010', 'MIH1102', 'NUR1108C', 'MIH1101', 'MD1903']","{'NUR1124': 'A', 'GEH1043': 'A+', 'GEC1011': 'B', 'ALS1010': 'C', 'MIH1102': 'B-', 'NUR1108C': 'B-', 'MIH1101': 'B+', 'MD1903': 'B+'}"
Natalie Fleming,A0276882K,XXXXX676Z,4,Computing,Business Analytics,,"['BT1101', 'CS2103R', 'XFC4102', 'XFC4101', 'CS1101S', 'BT4013', 'CP2107', 'CP3108B', 'GEI1000', 'CS2040C', 'IS4151', 'BT4015', 'CS2030', 'CP2106', 'IS1108', 'IS2103', 'IS4250', 'CS2103', 'CS1231R', 'DMC1401', 'CS3219', 'BT2101', 'IT1244', 'CS3217', 'IS4303', 'CS2108', 'IS3103', 'IS4233', 'CS3203', 'BT4240', 'CS4218', 'IS4010']","{'BT1101': 'B+', 'CS2103R': 'A-', 'XFC4102': 'A+', 'XFC4101': 'A', 'CS1101S': 'A-', 'BT4013': 'C', 'CP2107': 'C+', 'CP3108B': 'A+', 'GEI1000': 'F', 'CS2040C': 'F', 'IS4151': 'A+', 'BT4015': 'B', 'CS2030': 'F', 'CP2106': 'B', 'IS1108': 'D', 'IS2103': 'D', 'IS4250': 'F', 'CS2103': 'B-', 'CS1231R': 'F', 'DMC1401': 'B+', 'CS3219': 'C+', 'BT2101': 'B-', 'IT1244': 'B', 'CS3217': 'A+', 'IS4303': 'F', 'CS2108': 'A', 'IS3103': 'C', 'IS4233': 'F', 'CS3203': 'B+', 'BT4240': 'C', 'CS4218': 'C+', 'IS4010': 'B+'}"
Heather Castillo,A0241794D,XXXXX993Z,2,YST Conservatory of Music,Music,,"['GEX1022', 'MUT1201', 'MUA1111', 'CFA1101B', 'MUT1101', 'GET1047', 'MUA2255A', 'MUA1101', 'MUA1188', 'MUA2177', 'MUA2255', 'MUA1196', 'MUA1102', 'MUA1153', 'CFA1101A', 'CFA1111A']","{'GEX1022': 'B+', 'MUT1201': 'F', 'MUA1111': 'F', 'CFA1101B': 'A', 'MUT1101': 'C+', 'GET1047': 'A', 'MUA2255A': 'B-', 'MUA1101': 'A-', 'MUA1188': 'A-', 'MUA2177': 'A-', 'MUA2255': 'B-', 'MUA1196': 'B', 'MUA1102': 'A-', 'MUA1153': 'B', 'CFA1101A': 'D', 'CFA1111A': 'C'}"
Mark Gross,A0282683E,XXXXX815Z,3,Computing,Computer Science,Music,"['DMC1401IS', 'IS2238', 'BT1101', 'CP3108A', 'IS2218', 'IS1128', 'CP3208', 'CS1101S', 'GEI1000', 'CS2103R', 'CS2030S', 'CS3245R', 'CP2106', 'CS2040', 'CP2201', 'IT2002', 'BT2101', 'IT1244', 'CP3108B', 'CS3263', 'CS2105', 'CS3264', 'CS2103', 'IT2900']","{'DMC1401IS': 'F', 'IS2238': 'F', 'BT1101': 'B+', 'CP3108A': 'B', 'IS2218': 'C', 'IS1128': 'C', 'CP3208': 'A', 'CS1101S': 'F', 'GEI1000': 'C', 'CS2103R': 'D', 'CS2030S': 'C', 'CS3245R': 'D', 'CP2106': 'A-', 'CS2040': 'A', 'CP2201': 'A-', 'IT2002': 'B-', 'BT2101': 'D', 'IT1244': 'A', 'CP3108B': 'B+', 'CS3263': 'F', 'CS2105': 'F', 'CS3264': 'B+', 'CS2103': 'A+', 'IT2900': 'C'}"
Lori Olson,A0250102I,XXXXX409Z,1,Computing,Business Analytics,,"['DMC1401', 'CS1010', 'IS1108', 'CS1010R', 'DMC1401IS', 'BT1101', 'GEI1000', 'IS1128']","{'DMC1401': 'B', 'CS1010': 'A-', 'IS1108': 'A-', 'CS1010R': 'C+', 'DMC1401IS': 'F', 'BT1101': 'C', 'GEI1000': 'C+', 'IS1128': 'C'}"
Oscar Rose,A0289543A,XXXXX223Z,4,Law,Law,,"['LL4056BV', 'LL4528V', 'LL4190', 'LL4094FV', 'LC1002J', 'LL4357V', 'LL4099', 'LL4032', 'LL4033V', 'LL4322', 'LL4491V', 'LL4519', 'LL4007', 'LL4064V', 'LL4049V', 'LL4111V', 'LC2010G', 'LL4396', 'LL4094DV', 'LL4012', 'LC1002C', 'LL4044V', 'LL4094EV', 'LL4309V', 'LC1002E', 'LL4483V', 'LL4434V', 'LL4525', 'LC1001C', 'LL4342V', 'LL4503', 'LL4030V']","{'LL4056BV': 'A+', 'LL4528V': 'D', 'LL4190': 'A', 'LL4094FV': 'B+', 'LC1002J': 'A', 'LL4357V': 'F', 'LL4099': 'C', 'LL4032': 'C', 'LL4033V': 'D', 'LL4322': 'A-', 'LL4491V': 'B-', 'LL4519': 'F', 'LL4007': 'F', 'LL4064V': 'C', 'LL4049V': 'A-', 'LL4111V': 'D', 'LC2010G': 'A', 'LL4396': 'A-', 'LL4094DV': 'B+', 'LL4012': 'B', 'LC1002C': 'A', 'LL4044V': 'F', 'LL4094EV': 'B', 'LL4309V': 'B-', 'LC1002E': 'B-', 'LL4483V': 'F', 'LL4434V': 'A', 'LL4525': 'F', 'LC1001C': 'B-', 'LL4342V': 'C', 'LL4503': 'A+', 'LL4030V': 'A-'}"
Jack Rodriguez,A0266961U,XXXXX359Z,3,Arts and Social Science,Economics,,"['SE3224', 'GESS1009', 'LAC1201', 'PE2101P', 'SW3217', 'PL3551', 'HY3551', 'SC2216', 'NHS3911EL', 'SE2224', 'HY3245', 'SC3550', 'LAH1201', 'CH3295', 'GE3257', 'MS3216', 'EC2303', 'GET1029', 'GE3551', 'GE2102', 'HS2903', 'JS2230', 'MS3218', 'GEH1024']","{'SE3224': 'A-', 'GESS1009': 'A+', 'LAC1201': 'B+', 'PE2101P': 'A', 'SW3217': 'F', 'PL3551': 'C', 'HY3551': 'C', 'SC2216': 'B', 'NHS3911EL': 'B', 'SE2224': 'B+', 'HY3245': 'B-', 'SC3550': 'F', 'LAH1201': 'C+', 'CH3295': 'B-', 'GE3257': 'A+', 'MS3216': 'A+', 'EC2303': 'B-', 'GET1029': 'A+', 'GE3551': 'B-', 'GE2102': 'D', 'HS2903': 'B-', 'JS2230': 'A-', 'MS3218': 'B-', 'GEH1024': 'A+'}"
Nancy Anderson,A0281821U,XXXXX304Z,2,Science,Data Science and Analytics,,"['PHS1101', 'HS1502', 'UTOS2201F', 'ST2313', 'DMS1401SP', 'UTOS2201B', 'PC2312', 'HS2916', 'HS1403S', 'UTOS2201R', 'UTOS2201C', 'MA1301X', 'GESS1016', 'HS2904', 'HS1402S', 'MA1312']","{'PHS1101': 'C+', 'HS1502': 'A+', 'UTOS2201F': 'F', 'ST2313': 'B+', 'DMS1401SP': 'A', 'UTOS2201B': 'A-', 'PC2312': 'D', 'HS2916': 'D', 'HS1403S': 'B-', 'UTOS2201R': 'D', 'UTOS2201C': 'B', 'MA1301X': 'B+', 'GESS1016': 'B', 'HS2904': 'D', 'HS1402S': 'D', 'MA1312': 'A-'}"
Carolyn Edwards,A0255684A,XXXXX614Z,1,Arts and Social Science,Psychology,,"['GE1101E', 'GEH1045', 'GET1025', 'GEX1012', 'GEC1024', 'NM1101E', 'SC1101E', 'SW1101E']","{'GE1101E': 'B-', 'GEH1045': 'A-', 'GET1025': 'B', 'GEX1012': 'B', 'GEC1024': 'D', 'NM1101E': 'A+', 'SC1101E': 'F', 'SW1101E': 'B-'}"
Taylor Cooke,A0231052Y,XXXXX944Z,3,Science,Data Science and Analytics,,"['LSM3289', 'ENV3101', 'UTOS2201M', 'UTOS2001S', 'UTOS2001C', 'GET1020', 'PC3289N', 'MA3312', 'PC2239', 'DSA2312', 'ST3310', 'FST3181', 'ST3313', 'MA3288', 'UTOS2001P', 'PC2411', 'HS1404S', 'SP1230', 'LSM3288', 'QF2313', 'ST3288R', 'UTOS2002F', 'UTOS2002S', 'ENV2288']","{'LSM3289': 'A', 'ENV3101': 'B+', 'UTOS2201M': 'D', 'UTOS2001S': 'A-', 'UTOS2001C': 'C+', 'GET1020': 'A+', 'PC3289N': 'C', 'MA3312': 'B+', 'PC2239': 'A-', 'DSA2312': 'B+', 'ST3310': 'C+', 'FST3181': 'C', 'ST3313': 'B+', 'MA3288': 'F', 'UTOS2001P': 'C+', 'PC2411': 'A+', 'HS1404S': 'C', 'SP1230': 'F', 'LSM3288': 'B', 'QF2313': 'A', 'ST3288R': 'C', 'UTOS2002F': 'B+', 'UTOS2002S': 'D', 'ENV2288': 'F'}"
Christopher Reese,A0209972J,XXXXX439Z,2,Computing,Information Systems,,"['CS1010', 'BT1101', 'CS2040C', 'CP2107', 'IT2900', 'DMC1401CS', 'CP1008', 'CS2100', 'IS1128', 'GEI1000', 'CS2105', 'CS2030S', 'CS2106', 'CP2106', 'CS2108', 'IS2238']","{'CS1010': 'A-', 'BT1101': 'B', 'CS2040C': 'A-', 'CP2107': 'F', 'IT2900': 'A', 'DMC1401CS': 'B-', 'CP1008': 'B', 'CS2100': 'D', 'IS1128': 'B+', 'GEI1000': 'C', 'CS2105': 'D', 'CS2030S': 'A+', 'CS2106': 'C', 'CP2106': 'A', 'CS2108': 'B+', 'IS2238': 'B+'}"
Brandi Baker,A0271704E,XXXXX457Z,2,College of Design and Engineering,Electrical Engineering,,"['ID2117', 'PF2103', 'LAD2004', 'CE2003', 'IPM2101', 'ID2041', 'CDE2311', 'BN2204', 'CN2103', 'AR1329', 'IPM2102', 'ID1116', 'CE2409', 'ID2119', 'ID2108', 'LAD1005']","{'ID2117': 'F', 'PF2103': 'F', 'LAD2004': 'A', 'CE2003': 'C+', 'IPM2101': 'F', 'ID2041': 'C+', 'CDE2311': 'B+', 'BN2204': 'F', 'CN2103': 'C', 'AR1329': 'A-', 'IPM2102': 'B', 'ID1116': 'A', 'CE2409': 'C+', 'ID2119': 'F', 'ID2108': 'C+', 'LAD1005': 'B'}"
